Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\Projects\Project 1\PCB_Project1\Project Outputs for Wirless Security Detector\Pick Place for KRALBILGEHAN.csv

========================================================================================================================
File Design Information:

Date:       01.04.26
Time:       11:19
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"BR1","DB105STR","TopLayer","DB105STR","1303.150","2071.850","90","Bridge Diode AC-DC"
"BZ1","CMI-9605IC-0580T","TopLayer","CMI-9605IC","220.472","1319.882","215","Buzzers Indicator, Internally Driven Magnetic 5V 30mA 2.7kHz 80dB @ 5V, 10cm Through Hole PC Pins"
"C1","CL21B105KBFNNNE","TopLayer","CAP_0805","896.000","1543.401","270","CAP CER 1uF %10 0805"
"C2","CL21B104KBCNNNC","TopLayer","CAP_0805","815.024","1543.401","270","CAP CER 100nF %10 0805"
"C3","CL21B104KBCNNNC","TopLayer","CAP_0805","1322.834","1806.102","270","CAP CER 100nF %10 0805"
"C4","CL21B105KBFNNNE","TopLayer","CAP_0805","1255.905","1806.102","270","CAP CER 1uF %10 0805"
"C5","0603B103K160CT","TopLayer","CAP_0603","1145.673","1351.378","180","CAP CER 10nF %10 0603"
"C6","CL21A475KAQNNNE","TopLayer","CAP_0805","1680.000","1693.000","90","CAP CER 4.7uF %10 0805"
"C7","CL21B105KBFNNNE","TopLayer","CAP_0805","1556.598","1499.000","0","CAP CER 1uF %10 0805"
"C8","ESH477M050AH4AA","TopLayer","CAP_RADIAL_D10_P5","303.150","2465.551","180","CAP ALU ELEC 470uF 50V RADIAL"
"C9","EEV686M035A9HAA","TopLayer","CAP_EEVseries","1003.937","1784.449","180","Cap Aluminum Lytic 68uF 35V 20% (6.3 X 7.7mm) SMD 280mA 2000h 105C T/R"
"C10","ESH477M050AH4AA","TopLayer","CAP_RADIAL_D10_P5","303.150","2930.118","180","CAP ALU ELEC 470uF 50V RADIAL"
"C11","CL21A475KAQNNNE","TopLayer","CAP_0805","2478.976","378.464","90","CAP CER 4.7uF %10 0805"
"C12","CL21A475KAQNNNE","TopLayer","CAP_0805","2342.000","196.000","180","CAP CER 4.7uF %10 0805"
"C13","CL21A475KAQNNNE","TopLayer","CAP_0805","2565.590","378.464","90","CAP CER 4.7uF %10 0805"
"C14","CL21B105KBFNNNE","TopLayer","CAP_0805","2652.205","378.464","90","CAP CER 1uF %10 0805"
"C15","CL21B105KBFNNNE","TopLayer","CAP_0805","1773.189","1890.748","90","CAP CER 1uF %10 0805"
"C16","CL21A475KAQNNNE","TopLayer","CAP_0805","1854.331","1890.748","90","CAP CER 4.7uF %10 0805"
"C17","CL21B104KBCNNNC","TopLayer","CAP_0805","1963.000","1854.000","0","CAP CER 100nF %10 0805"
"C18","CL10C200JB8NNNC","TopLayer","CAP_0603","1790.500","1772.000","0","CAP CER 20pF %5 0603 SMD"
"C19","CL10C200JB8NNNC","TopLayer","CAP_0603","1674.000","1476.000","90","CAP CER 20pF %5 0603 SMD"
"C20","C0603C104K5RACTU","TopLayer","CAP_0603","1742.500","1363.000","180","CAP CER 100nF %10 0603 SMD"
"C21","CL21B104KBCNNNC","TopLayer","CAP_0805","2536.401","1737.000","180","CAP CER 100nF %10 0805"
"C22","CL21B104KBCNNNC","TopLayer","CAP_0805","2364.401","1367.000","180","CAP CER 100nF %10 0805"
"C23","CL21B104KBCNNNC","TopLayer","CAP_0805","1901.000","1422.000","180","CAP CER 100nF %10 0805"
"C24","CL21A475KAQNNNE","TopLayer","CAP_0805","340.551","289.945","0","CAP CER 4.7uF %10 0805"
"C25","CL21B105KBFNNNE","TopLayer","CAP_0805","340.551","215.142","0","CAP CER 1uF %10 0805"
"C26","CL21B104KBCNNNC","TopLayer","CAP_0805","340.551","144.275","0","CAP CER 100nF %10 0805"
"C27","ESH477M050AH4AA","TopLayer","CAP_RADIAL_D10_P5","1420.403","947.403","225","CAP ALU ELEC 470uF 50V RADIAL"
"C28","C0603C104K5RACTU","TopLayer","CAP_0603","2448.819","1091.532","90","CAP CER 100nF %10 0603 SMD"
"C29","C0603C104K5RACTU","TopLayer","CAP_0603","1867.000","1287.500","270","CAP CER 100nF %10 0603 SMD"
"C30","C0603C104K5RACTU","TopLayer","CAP_0603","511.811","1426.181","270","CAP CER 100nF %10 0603 SMD"
"C31","C3216X5R1E336M160AC","BottomLayer","CAP_1206","3700.000","563.000","90","CAP CER 33uF %20 1206 SMD"
"C32","C3216X5R1E336M160AC","BottomLayer","CAP_1206","3700.000","745.000","90","CAP CER 33uF %20 1206 SMD"
"C33","0603B103K160CT","BottomLayer","CAP_0603","3565.000","650.000","90","CAP CER 10nF %10 0603"
"C34","C0603C104K5RACTU","BottomLayer","CAP_0603","3514.000","467.500","90","CAP CER 100nF %10 0603 SMD"
"C35","CL21B104KBCNNNC","BottomLayer","CAP_0805","3688.000","181.000","270","CAP CER 100nF %10 0805"
"C36","0603B103K160CT","BottomLayer","CAP_0603","3565.000","770.000","90","CAP CER 10nF %10 0603"
"C37","CL21A475KAQNNNE","BottomLayer","CAP_0805","3363.000","85.000","0","CAP CER 4.7uF %10 0805"
"C38","C0603C104K5RACTU","BottomLayer","CAP_0603","3565.000","530.000","90","CAP CER 100nF %10 0603 SMD"
